A_bl,b3,PBR_eff,L0,L_ol0
7.106775493537981214e-01,-1.273699298009623414e-02,2.029729079864733033e-09,1.939454559421154300e+00,2.402646600416616991e+02
6.933589293262585329e-01,-1.218324938442987872e-02,1.572217367919747158e-02,1.894617938245262367e+00,2.528603088323495740e+02
6.385171531907132270e-01,-1.137157405322854198e-02,3.329757022399013611e+00,1.938614942686961218e+00,2.908162113074751297e-08
5.663576257220690469e-01,-1.048483175871874756e-02,4.086717882277662861e-01,1.924510776828660230e+00,3.596831951651405745e+01
8.624156993300292617e-01,-1.398207062272111348e-02,1.892380206059717906e+00,1.948571012442632089e+00,8.803713411264723732e+01
8.105363093902057114e-01,-1.382674561498851637e-02,2.057790911073610562e+00,1.865512656495549759e+00,1.447219873208953267e+01
7.937676971399659775e-01,-1.309076461860475375e-02,5.708825093075893253e-01,1.970099773806974763e+00,1.607622221866452037e+02
7.505957868276642575e-01,-1.316352159855833405e-02,1.008064633484115902e+00,1.861927753351576342e+00,7.442313478724010167e+01
7.699770598872039962e-01,-1.347499800050017300e-02,2.707290522722664017e-01,1.911966484143434508e+00,1.149476068794421764e+02
1.228999121356268542e+00,-1.884293615000630362e-02,1.727998760890296914e+00,1.970060184557873795e+00,3.144727394669993726e-14
7.129054965104272279e-01,-1.302889731604922954e-02,2.616870660144336322e-10,1.945202817565415465e+00,2.372378756022150412e+02
7.189814435675395687e-01,-1.415492415571275274e-02,3.147756286352116637e-15,1.936940423791126298e+00,1.482222263187342719e+02
7.076560517171237574e-01,-1.281094979067322684e-02,2.756480677539142388e+00,1.892280405178035307e+00,8.051690029610096302e-07
6.517103189396141749e-01,-1.133302681375383640e-02,1.605001308869409726e+00,1.891730070650508910e+00,7.548794559350466216e+01
8.748860473515298608e-01,-1.424008461592536461e-02,1.692198835460603012e+00,1.968800954414696491e+00,1.149462910636228409e-07
6.799519233931231588e-01,-1.169688485301479362e-02,2.863793580015966400e-01,1.936164156250182122e+00,1.683607207241358878e+02
8.016093233396208717e-01,-1.308591409293885684e-02,5.966401577814295365e-01,1.976680509883300241e+00,1.271512957029675732e+02
6.562301695269663337e-01,-1.107338032880003133e-02,1.666779848097178940e+00,1.884480046952256682e+00,3.939285867400496954e+01
8.309252924837247090e-01,-1.379581128704168193e-02,1.120321282370985827e+00,1.946395561571832911e+00,9.607014854101765877e+01
6.803179100660924350e-01,-1.142272157625922289e-02,9.066332300359599694e-01,1.966467694800221544e+00,1.256343446190377477e+02
6.885837677059600814e-01,-1.125716491316825982e-02,1.861993581624494132e+00,1.968354055731685426e+00,2.653531045168914871e-09
9.355072644198308973e-01,-1.551240830448265967e-02,2.024981890242808724e+00,1.952611281411115618e+00,2.398124429001826159e-06
1.029019170410082173e+00,-1.740740172444618997e-02,1.148653797616044383e-14,1.953317437124363565e+00,2.232235682283177027e+02
9.255511104304626757e-01,-1.548549289465137209e-02,2.196103008984950922e+00,1.954741591142764578e+00,7.775354082223401520e+01
6.643487908400925734e-01,-1.086384629294065950e-02,2.902154802204456319e-01,1.839878551243408600e+00,1.211676421690982295e+02
7.200786207566330921e-01,-1.283764432491019819e-02,1.270303183900223232e-01,1.944141502767031238e+00,2.083254782551709923e+02
9.132271583265993975e-01,-1.572120343876243220e-02,2.614608339380574353e+00,1.914848370046517312e+00,2.354784080788082079e+01
8.213672706512458177e-01,-1.449229913726510742e-02,1.926184400690927001e+00,1.918567331268684839e+00,1.497138801774750824e-07
6.320563000250163377e-01,-1.138053369661241702e-02,1.841833998478016099e+00,1.917640917647018606e+00,3.371620353416307125e+01
8.052971483913440309e-01,-1.381901734234735300e-02,1.735706422624245127e+00,1.948027510413896879e+00,6.732356979548757181e+01
8.644431589104778491e-01,-1.431847557937263385e-02,1.375738683095797388e+00,1.982148565098293069e+00,1.057253922539932347e+02
6.814928684562432393e-01,-1.239453370169068223e-02,1.535322584435848681e+00,1.852765802030047704e+00,1.079099275534435094e+02
6.907601054257708206e-01,-1.185365947086246090e-02,1.367524697542090648e-08,1.911618558910294752e+00,1.595012370890105444e+02
6.606177681369360677e-01,-1.159460512080682376e-02,4.435364288936601285e-01,1.899578801746067525e+00,2.076254699117590974e+02
6.333663544439085413e-01,-1.026559996519187459e-02,1.004258467212167716e+00,1.837903497161260669e+00,1.629373341332748737e+02
6.014597334379258031e-01,-9.708892839096415830e-03,8.663058474015685739e-01,1.883023627705541658e+00,1.406043371720371908e+02
8.674646481039138823e-01,-1.458182401025584843e-02,1.585427690965953484e+00,1.945321262462095468e+00,9.425255066477825494e+01
6.831463945139599758e-01,-1.137823819405214820e-02,2.345628014535291683e+00,1.936714409193230013e+00,1.178014926953417216e+02
9.423576547890580857e-01,-1.572690202615236940e-02,1.167501035592797276e+00,1.927252570041329882e+00,1.232120320703244687e+02
